row,product,status,file,url,query
1,金門38度高粱(300ml),Downloaded,images/kkl38-300.png,https://goldenfull.shop/cdn/shop/files/38_300ML.png?v=1704524413,"""金門38度高粱(300ml)"" ""金門38度高粱"" ""金門高粱"" 商品 酒瓶 圖片 -旅遊 -景點 -戰車"
2,金門38度高粱(600ml),Downloaded,images/kkl38-600.png,https://goldenfull.shop/cdn/shop/files/38_600ML.png?v=1704524418,"""金門38度高粱(600ml)"" ""金門38度高粱"" ""金門高粱"" 商品 酒瓶 圖片 -旅遊 -景點 -戰車"
3,金門38度高粱(750ml),Downloaded,images/kkl38-750.png,https://goldenfull.shop/cdn/shop/files/38_750ML.png?v=1704524423&width=1445,"""金門38度高粱(750ml)"" ""金門38度高粱"" ""金門高粱"" 商品 酒瓶 圖片 -旅遊 -景點 -戰車"
4,金門58度紅標高粱(600ml),Downloaded,images/kkl58r-600.png,https://www.alcohol.com.tw/upload/catalog_b/ALL_catalog_22L15_fvjghi8s6x.png,"""金門58度紅標高粱(600ml)"" ""金門58度紅標高粱"" ""金門高粱"" 商品 酒瓶 圖片 -旅遊 -景點 -戰車"
5,金門58度紅標高粱(750ml),Downloaded,images/kkl58r-750.png,https://www.alcohol.com.tw/upload/catalog_b/ALL_catalog_22L15_fvjghi8s6x.png,"""金門58度紅標高粱(750ml)"" ""金門58度紅標高粱"" ""金門高粱"" 商品 酒瓶 圖片 -旅遊 -景點 -戰車"
6,金門58度高粱(300ml),Downloaded,images/kkl58-300.png,https://www.alcohol.com.tw/upload/catalog_b/ALL_catalog_22L15_fvjghi8s6x.png,"""金門58度高粱(300ml)"" ""金門58度高粱"" ""金門高粱"" 商品 酒瓶 圖片 -旅遊 -景點 -戰車"
7,金門58度高粱(600ml),Downloaded,images/kkl58-600.png,https://goldenfull.shop/cdn/shop/files/58_600ML_67e86f94-3308-4cee-abb4-da9a98f955ad.png?v=1704525981&width=1946,"""金門58度高粱(600ml)"" ""金門58度高粱"" ""金門高粱"" 商品 酒瓶 圖片 -旅遊 -景點 -戰車"
8,金門58度高粱(750ml),Downloaded,images/kkl58-750.jpg,https://whiskemon.com/wp-content/uploads/2023/08/%E9%87%91%E9%96%8058%E5%BA%A6%E7%B2%89%E6%A8%99%E9%AB%98%E6%A2%81%E9%85%92600ml_whiskemon.jpg,"""金門58度高粱(750ml)"" ""金門58度高粱"" ""金門高粱"" 商品 酒瓶 圖片 -旅遊 -景點 -戰車"
9,金門特優58度高粱,Downloaded,images/kkl58p.png,https://www.alcohol.com.tw/upload/catalog_b/ALL_catalog_20E12_jx3ga3hph9.png,"""金門特優58度高粱"" ""金門高粱"" 商品 酒瓶 圖片 -旅遊 -景點 -戰車"
10,戰酒黑金龍,Downloaded,images/wjhjl.png,https://goldenfull.shop/cdn/shop/files/46_560ML.png?v=1704525896,"""戰酒黑金龍"" ""金門高粱"" 商品 酒瓶 圖片 -旅遊 -景點 -戰車"
